student_id,month,text_fa
RADAR-001,2026-08,💻 پیوست ۱۴۸ در شهریورماه منتشر شد ▪️اطلاعاتی که ما هر روز و هر ساعت در اختیار پلتفرم‌های دولتی و خصوصی مختلف قرار می‌دهیم، متعلق به چه کسی است؟ آیا ما هم کنترل یا اختیاری درباره آنها داریم؟ با این داده‌ها چه می‌توان کرد؟ قانون در این رابطه چه می‌گوید؟ مالکیت داده‌های عمومی و خصوصی، موضوع پرونده شماره ۱۴۸ پیوست است که با تیتر «داده‌ها قلمرو جدید قدرت» روی جلد ماهنامه آمده است. ▪️گزارش‌های درباره واردات گوشی تلفن همراه، تاثیر رگولاتوری در بلوغ بازار ارتباطات، سهم پلتفرم‌ها از تجارت الکترونیکی، برداشت موجودی از صرافی‌های رمزارز، توکن‌سازی انرژی، و اهرم‌سازی دارایی‌های کاربران در صرافی‌ها در کنار گفت‌وگو با معاون سابق وزارت ارتباطات و فناوری اطلا
RADAR-002,2026-07,🔹مرکز ملی فضای مجازی از تصویب الحاقیه‌ای برای دستورالعمل ایجاد محیط‌های آزمون تنظیم‌گری (سندباکس) خبر داد که بر اساس آن، علاوه بر تنظیم‌گران دولتی، نهادهای توسعه‌ای و تشکل‌های صنفی نیز می‌توانند با مجوز کارگروه، مجوزهای موقت برای فعالیت کسب‌وکارهای نوآور صادر و آنها را از برخی مقررات متعارف معاف کنند. 🔹به گفته حسین دلیریان، سخنگوی مرکز ملی فضای مجازی، این مصوبه با هدف کاهش موانع تنظیم‌گری، افزایش مشارکت بخش خصوصی و تسریع توسعه فناوری‌های نوآورانه تصویب شده است. 🆔 🔗 متن کامل گزارش را در سایت پیوست بخوانید: peivast.com/p/263233
RADAR-003,2026-07,🔺سهمیه سوخت روی کارت بانکی می‌نشیند؛ گره‌ای تازه میان دو زیرساخت حساس کشور 🔹دولت با مصوبه تازه هیات وزیران، اجرای طرح انتقال ۱۰۰ درصدی سهمیه سوخت از کارت سوخت به کارت بانکی را وارد فاز عملیاتی کرد. بر اساس این مصوبه، وزارت اقتصاد با همکاری وزارت ارتباطات، وزارت نفت، بانک مرکزی و فراجا باید سوئیچی را طراحی و راه‌اندازی کند که سامانه هوشمند سوخت را به شبکه بانکی متصل می‌کند. 🔹این تصمیم بر اساس قانون بودجه ۱۴۰۵ اتخاذ شده و به معنای حذف فوری کارت سوخت نیست؛ اما دولت باید تا پایان امسال زیرساخت لازم را فراهم کند. 🔹با اجرای کامل طرح، دو زیرساخت حیاتی کشور یعنی سامانه هوشمند سوخت و شبکه بانکی بیش از هر زمان دیگری به یکدیگر وابسته خواهند شد. 🔹این در 
RADAR-004,2026-07,🔺 تمدید انتشار آگهی‌های دولتی در رسانه‌ها؛ گذار به سامانه «ستاد» پنج سال دیگر عقب افتاد 🔹 دولت برای دومین بار اجرای برنامه انتقال انتشار آگهی‌های دولتی از روزنامه‌ها به سامانه تدارکات الکترونیکی دولت (ستاد) را پنج سال دیگر به تعویق انداخت. 🔹به گزارش پیوست، قرار بود امسال پرونده انتشار آگهی‌های دولتی در روزنامه‌ها بسته شود و همه این فرآیند به سامانه «ستاد» منتقل شود؛ اما دولت تصمیم گرفت این گذار را پنج سال دیگر به تعویق بیندازد. 🔹 اما عنوان «روزنامه‌های کثیرالانتشار» که در قانون و آیین‌نامه به کار رفته، در عمل شامل همه رسانه‌های دارای مجوز نمی‌شود؛ آگهی‌های دولتی معمولاً میان تعداد محدودی از عناوین که واجد شرایط این طبقه‌بندی شناخته می‌شوند تو
RADAR-005,2026-07,🔺فعالان سلامت دیجیتال: وزارت بهداشت مجوزی را مطالبه می‌کند که وجود ندارد 🔹انتشار یک نامه داخلی در وزارت بهداشت، بار دیگر فعالیت پلتفرم‌های دوراپزشکی را با ابهام مواجه کرده است؛ نامه‌ای که در آن فعالیت این پلتفرم‌ها تا زمان دریافت مجوز از وزارت بهداشت «غیرمجاز» عنوان شده، در حالی که فعالان این حوزه می‌گویند چنین مجوزی اساساً وجود خارجی ندارد. 🔹 مهدی خدادادی، رئیس کمیسیون سلامت دیجیتال سازمان نصر تهران معتقد است: «اگر مجوزی در درگاه ملی مجوزها ثبت نشده باشد، مطالبه آن مبنای قانونی ندارد.» 🔹 احمد طاهرخانی، رئیس کمیسیون سلامت دیجیتال انجمن تجارت الکترونیک می‌گوید: «وزارت بهداشت تاکنون هیچ مجوز مستقلی برای دوراپزشکی در درگاه ملی مجوزها تعریف نکرده
RADAR-006,2026-08,🔺مرکز پژوهش‌های مجلس: هماهنگی نهادی شرط رسیدن ایران به رتبه ۷۵ دولت الکترونیکی است 🔹رتبه ایران در شاخص توسعه دولت الکترونیکی (EGDI) حدود ۱۰۱ است و بر اساس اهداف برنامه هفتم توسعه، قرار است تا پایان این برنامه به رتبه ۷۵ برسد. 🔹به گزارش پیوست، مرکز پژوهش‌های مجلس در گزارشی با عنوان «نگاشت نهادی نظام اداری کشوری در جهت بهبود رتبه شاخص توسعه دولت الکترونیکی (EGDI)» به بررسی سازوکار ارزیابی این شاخص و نقش دستگاه‌های مختلف در ارتقای جایگاه ایران پرداخته است. بر این اساس تحقق این هدف مستلزم استقرار یک مدل حکمرانی منسجم، هماهنگی نهادی و پایش مستمر عملکرد دستگاه‌های مسئول است. 🔹سازمان فناوری اطلاعات ایران، شورای اجرایی فناوری اطلاعات، سازمان تنظیم مق
RADAR-007,2026-08,🔹۶۳ نماینده مجلس در نامه‌ای به رئیس قوه قضائیه و شورای نگهبان، به مصوبه دولت درباره «ستاد ویژه ساماندهی و راهبری فضای مجازی کشور» اعتراض کردند و نسبت به توسعه اختیارات رئیس‌جمهور در این حوزه هشدار دادند. 🔹نمایندگان معتقدند اصلاح ساختار ستاد و محدود شدن نقش آن به امور مشورتی، ایراد اصلی را برطرف نکرده و اختیاراتی که پیش‌تر برای این ستاد در نظر گرفته شده بود، عملاً به رئیس‌جمهور منتقل شده است. 🔹آنها با اشاره به تصمیم اخیر رئیس‌جمهور درباره محدودسازی اعمال صلاحیت‌های قوه قضائیه در فضای مجازی، خواستار بررسی ابعاد قانونی و شرعی مصوبه و اصلاحیه آن از سوی شورای نگهبان شدند. نمایندگان تأکید کرده‌اند دولت نمی‌تواند با تصویب مقررات اجرایی، اختیاراتی فر
RADAR-008,2026-08,🔺تست با برق صنعتی ممنوع؛ پیش‌نویس صمت مسیر تولید ماینر را تنگ‌تر می‌کند؟ 🔹وزارت صمت در پیش‌نویس تازه ضوابط تولید دستگاه‌های استخراج رمزدارایی، تولیدکننده ماینر را از مرحله دریافت جواز تا تست، فروش و رهگیری دستگاه زیر مجموعه‌ای از مجوزها و محدودیت‌ها برده است. 🔹یکی از مهم‌ترین بندهای این پیش‌نویس، ممنوعیت استفاده از تعرفه برق صنعتی برای تست ماینر و الزام تولیدکننده به دریافت مجوز استخراج و تامین انرژی با تعرفه ماینینگ است؛ الزامی که در کنار تعرفه بیش از ۱۰ هزار تومانی برق استخراج، بار دیگر پرسش درباره هزینه فعالیت قانونی در این صنعت را مطرح می‌کند. 🔹مسیح علوی، فعال و کارشناس حوزه استخراج رمزدارایی، در گفت‌وگو با پیوست این رویکرد را ادامه سیاست
RADAR-009,2026-08,🔺چرا وزارت ارتباطات و مرکز ملی فضای مجازی به جای هم‌افزایی، در مسیرهای متفاوت حرکت می‌کنند؟ پازل قدرت 🔹جوابیه مرکز ملی فضای مجازی به سخنان وزیر ارتباطات درباره اجرای سندی که یک سال و نیم پس از تصویب همچنان محرمانه مانده، بار دیگر اختلاف قدیمی این دو نهاد را آشکار کرد؛ اختلافی که نه تازه است و نه به دولت فعلی محدود می‌شود. 🔹از سال ۱۳۹۱ تاکنون ۶ وزیر و یک سرپرست در وزارت ارتباطات و چهار رئیس و یک سرپرست در مرکز ملی فضای مجازی تغییر کرده‌اند، اما این اختلاف تقریباً در تمام دوره‌ها ادامه داشته است؛ تا جایی که شاید تنها دوره کم‌تنش، چند ماهی بود که محمود واعظی همزمان وزیر ارتباطات و سرپرست مرکز ملی بود. 🔹این نزاع در مقاطعی تا ورود مراجع فقهی و حتی
RADAR-010,2026-08,🔺رئیس رگولاتوری: همه شهرداری‌ها غیر از تهران در پروژه فیبر نوری همکاری می‌کنند 🔹عموم شهرداری‌های کشور با اپراتورها در زمینه توسعه فیبر نوری همکاری می‌کنند و تنها شهرداری تهران است که علی‌رغم مصوبات قانونی، همچنان در این زمینه همکاری نمی‌کند. رگولاتوری می‌گوید در این زمینه با نهادهای نظارتی نیز مکاتباتی انجام داده اما فعلا نتیجه‌ای حاصل نشده است. 🔹حمید فتاحی، رئیس سازمان تنظیم مقررات و ارتباطات رادیویی درباره پیشرفت پروژه FTTH در تهران گفت: در خیلی از کلانشهرها و شهرهای کوچکتر با هماهنگی استانداران و مراجع قانونی مانند سازمان بازرسی کل کشور، ورود کرده‌ایم و تقریبا غیر از تهران مشکل خاصی نداریم. در شهر تهران جلساتی را با شهرداری داشتیم و خود آق
