id,split,category,text,source,source_url
1,gold,تعریف بازار,"برای بررسی رقابت در تاکسی‌های اینترنتی باید مشخص شود آیا خدمت اسنپ و تپسی در یک بازار دوطرفه قرار می‌گیرند؛ بازاری که هم مسافر و هم راننده در آن نقش دارند.","پرونده عمومی بانا درباره تپسی و اسنپ","https://banaelc.com/en/our-projects-championing-fair-competition/"
2,gold,تعریف بازار,"اگر مسافر بتواند به‌راحتی میان تاکسی اینترنتی و تاکسی تلفنی جایگزین شود، تعریف بازار باید این گزینه‌ها را نیز در نظر بگیرد.","بازنویسی آموزشی بر اساس ادبیات تحلیل بازار","https://banaelc.com/en/our-projects-championing-fair-competition/"
3,gold,قدرت بازار,"تعداد سفارش‌های روزانه و تعداد سفرهای انجام‌شده می‌تواند به‌عنوان یکی از شاخص‌های تقریبی برای مقایسه موقعیت پلتفرم‌ها استفاده شود.","پرونده عمومی بانا درباره تپسی و اسنپ","https://banaelc.com/en/our-projects-championing-fair-competition/"
4,gold,قدرت بازار,"پلتفرمی که هم‌زمان تعداد زیادی مسافر و راننده دارد، از اثر شبکه‌ای برخوردار است و ورود رقیب جدید برای آن آسان نیست.","بازنویسی آموزشی درباره بازارهای دیجیتال ایران","https://banaelc.com/en/new-trends-in-irans-competition-law/"
5,gold,مانع ورود,"رقیب تازه‌وارد برای جذب راننده و مسافر باید از ابتدا در دو سمت بازار شبکه ایجاد کند و این موضوع هزینه ورود را افزایش می‌دهد.","بازنویسی آموزشی درباره بازارهای دوطرفه","https://banaelc.com/en/our-projects-championing-fair-competition/"
6,gold,مانع ورود,"دسترسی نابرابر به داده‌های سفر، سابقه رانندگان و الگوی تقاضا می‌تواند توان تحلیل و رقابت پلتفرم کوچک‌تر را کاهش دهد.","بازنویسی آموزشی درباره اقتصاد دیجیتال","https://banaelc.com/en/new-trends-in-irans-competition-law/"
7,gold,رفتار ضد رقابتی,"در گزارش پرونده، ادعا شده است که پس از لغو برخی سفرها، اطلاعات رانندگان برای تماس و جذب آن‌ها به پلتفرم رقیب مورد استفاده قرار گرفته است.","پرونده عمومی بانا درباره تپسی و اسنپ","https://banaelc.com/en/our-projects-championing-fair-competition/"
8,gold,رفتار ضد رقابتی,"شرطی که همکاری هم‌زمان راننده با یک پلتفرم رقیب را محدود کند، می‌تواند فرصت رقابت برای پلتفرم‌های دیگر را کاهش دهد.","گزارش عمومی درباره قراردادهای اسنپ و تپسی","https://gadgetnews.net/795023/competition-council-trouble-snapp-tap30/"
9,gold,هزینه جابه‌جایی,"اگر امتیاز، سابقه یا دسترسی راننده به مشتریان فقط در یک برنامه باقی بماند، انتقال فعالیت او به برنامه دیگر پرهزینه‌تر می‌شود.","بازنویسی آموزشی درباره جابه‌جایی در پلتفرم‌ها","https://banaelc.com/en/our-projects-championing-fair-competition/"
10,gold,هزینه جابه‌جایی,"راننده‌ای که برای حفظ درآمد خود مجبور است چند برنامه را هم‌زمان مدیریت کند، با هزینه زمانی و پیچیدگی بیشتری روبه‌رو می‌شود.","بازنویسی آموزشی درباره بازار تاکسی اینترنتی","https://banaelc.com/en/our-projects-championing-fair-competition/"
11,gold,آسیب به مصرف‌کننده,"کاهش تعداد پلتفرم‌های فعال می‌تواند انتخاب مسافر را محدود کند و در بلندمدت بر قیمت، کیفیت و زمان انتظار اثر بگذارد.","بازنویسی آموزشی درباره رفاه مصرف‌کننده","https://banaelc.com/en/new-trends-in-irans-competition-law/"
12,gold,آسیب به مصرف‌کننده,"اگر لغوهای سازمان‌یافته باعث کاهش تعداد سفرهای انجام‌شده شود، مسافر ممکن است با زمان انتظار بیشتر و کیفیت پایین‌تر خدمت مواجه شود.","پرونده عمومی بانا درباره تپسی و اسنپ","https://banaelc.com/en/our-projects-championing-fair-competition/"
13,gold,رفتار ترجیحی,"اگر یک پلتفرم خدمات وابسته به خودش را در جایگاه بالاتری نمایش دهد، باید بررسی شود آیا رقبای مستقل فرصت برابر برای دیده‌شدن دارند.","بازنویسی آموزشی درباره دروازه‌بانان دیجیتال","https://www.rasta-tt.ir/%D8%AF%D8%B1%D9%88%D8%A7%D8%B2%D9%87%D8%A8%D8%A7%D9%86%D8%A7%D9%86-%D8%AF%DB%8C%D8%AC%DB%8C%D8%AA%D8%A7%D9%84-%D8%A8%D8%AE%D8%B4-%D8%AF%D9%88%D9%85/"
14,gold,راهکار تنظیم‌گری,"یک راهکار ممکن است الزام پلتفرم به ارائه شرایط منصفانه و ایجاد سازوکار نظارت بر اجرای تعهدات باشد.","بازنویسی آموزشی درباره راهکارهای رقابتی","https://banaelc.com/en/new-trends-in-irans-competition-law/"
15,gold,راهکار تنظیم‌گری,"قبل از پیشنهاد مداخله، باید بررسی شود که آیا دسترسی به داده، قابلیت انتقال حساب یا امکان همکاری هم‌زمان می‌تواند رقابت را بهبود دهد.","بازنویسی آموزشی درباره تنظیم‌گری اقتصاد دیجیتال","https://banaelc.com/en/new-trends-in-irans-competition-law/"
16,gold,سایر,"افزایش سرعت پاسخ‌گویی سامانه پس از سرمایه‌گذاری فنی، به‌تنهایی نشانه رفتار ضد رقابتی یا قدرت بازار نیست.","نمونه کنترل آموزشی","https://banaelc.com/en/new-trends-in-irans-competition-law/"
17,test,تعریف بازار,"برای تحلیل پرونده باید مشخص کنیم مشتریان، تاکسی اینترنتی را جایگزین چه خدمات دیگری می‌دانند و این جایگزینی در چه محدوده جغرافیایی رخ می‌دهد.","بازنویسی آموزشی بر اساس پرونده عمومی بانا","https://banaelc.com/en/our-projects-championing-fair-competition/"
18,test,تعریف بازار,"بازار را می‌توان فقط اپلیکیشن‌ها ندانست؛ تعامل میان مسافر، راننده و پلتفرم بخشی از مسئله تعریف بازار است.","بازنویسی آموزشی درباره بازار دوطرفه","https://banaelc.com/en/our-projects-championing-fair-competition/"
19,test,قدرت بازار,"پلتفرمی که در بیشتر مناطق شهر هم راننده و هم مسافر بیشتری دارد، ممکن است از موقعیت چانه‌زنی قوی‌تری برخوردار باشد.","بازنویسی آموزشی درباره قدرت بازار","https://banaelc.com/en/our-projects-championing-fair-competition/"
20,test,قدرت بازار,"سهم بالای سفارش‌ها به‌تنهایی کافی نیست و باید امکان ورود، قدرت طرف مقابل، گزینه‌های جایگزین و رفتار کاربران نیز بررسی شود.","بازنویسی آموزشی درباره تحلیل رقابت","https://banaelc.com/en/new-trends-in-irans-competition-law/"
21,test,مانع ورود,"رقیب جدید برای رسیدن به تعداد کافی سفرها به تخفیف، تبلیغات و مشوق‌های رانندگان نیاز دارد و ممکن است مدت زیادی زیان‌ده بماند.","بازنویسی آموزشی درباره اقتصاد پلتفرمی","https://banaelc.com/en/new-trends-in-irans-competition-law/"
22,test,مانع ورود,"دسترسی پلتفرم مسلط به اطلاعات رفتار کاربران می‌تواند طراحی محصول و قیمت‌گذاری را برای رقبای کوچک‌تر دشوار کند.","بازنویسی آموزشی درباره داده و رقابت دیجیتال","https://banaelc.com/en/new-trends-in-irans-competition-law/"
23,test,رفتار ضد رقابتی,"لغو مکرر سفرهای ثبت‌شده توسط حساب‌های مرتبط با یک پلتفرم می‌تواند به کاهش مصنوعی فعالیت رقیب منجر شود.","پرونده عمومی بانا درباره تپسی و اسنپ","https://banaelc.com/en/our-projects-championing-fair-competition/"
24,test,رفتار ضد رقابتی,"اگر راننده به دلیل نصب برنامه رقیب با کاهش دسترسی یا تنبیه مواجه شود، باید شرایط قراردادی و اثر واقعی آن بر رقابت بررسی شود.","گزارش عمومی درباره قراردادهای پلتفرم‌ها","https://gadgetnews.net/795023/competition-council-trouble-snapp-tap30/"
25,test,هزینه جابه‌جایی,"انتقال امتیاز و سابقه کاری راننده از یک برنامه به برنامه دیگر ممکن نیست و راننده برای شروع دوباره باید اعتبار خود را از صفر بسازد.","بازنویسی آموزشی درباره قابلیت انتقال داده","https://banaelc.com/en/new-trends-in-irans-competition-law/"
26,test,هزینه جابه‌جایی,"مسافری که تاریخچه سفر، کیف پول و تخفیف‌های خود را در یک برنامه جمع کرده است، ممکن است انگیزه کمتری برای امتحان‌کردن رقیب داشته باشد.","بازنویسی آموزشی درباره هزینه جابه‌جایی","https://banaelc.com/en/new-trends-in-irans-competition-law/"
27,test,آسیب به مصرف‌کننده,"اگر رقابت کم شود، ممکن است پلتفرم‌ها انگیزه کمتری برای کاهش زمان انتظار، حفظ کیفیت و پاسخ‌گویی به شکایت‌ها داشته باشند.","بازنویسی آموزشی درباره رفاه مصرف‌کننده","https://banaelc.com/en/new-trends-in-irans-competition-law/"
28,test,آسیب به مصرف‌کننده,"کاهش سفرهای موفق و افزایش لغوها می‌تواند هم درآمد رانندگان و هم قابلیت اطمینان خدمت برای مسافران را کاهش دهد.","پرونده عمومی بانا درباره تپسی و اسنپ","https://banaelc.com/en/our-projects-championing-fair-competition/"
