id,split,category,text,source,source_url
1,gold,entry_barrier,"The case materials describe control over a critical input as a condition that can make it harder for rivals to compete.","DOJ Apple case materials","https://www.justice.gov/opa/pr/justice-department-sues-apple-monopolizing-smartphone-markets"
2,gold,entry_barrier,"The material discusses conduct that may raise the cost for a new firm to reach users, partners, or complementary services.","DOJ Apple case materials","https://www.justice.gov/opa/pr/justice-department-sues-apple-monopolizing-smartphone-markets"
3,gold,self_preferencing,"The case materials describe a platform designing rules or access conditions in ways that favor its own products over competing products.","European Commission Digital Markets Act","https://digital-markets-act.ec.europa.eu/index_en"
4,gold,self_preferencing,"The policy discussion focuses on whether a gatekeeper gives its own service a more favorable position in ranking, access, or interoperability.","European Commission Digital Markets Act","https://digital-markets-act.ec.europa.eu/index_en"
5,gold,switching_cost,"The material describes restrictions that can make it difficult for users to move their data, accounts, or activity to another provider.","CMA cloud services market investigation","https://www.gov.uk/government/publications/cloud-services-market-investigation"
6,gold,switching_cost,"The analysis considers whether technical, contractual, or financial frictions discourage customers from changing suppliers.","CMA cloud services market investigation","https://www.gov.uk/government/publications/cloud-services-market-investigation"
7,gold,exclusive_dealing,"The case materials discuss agreements or incentives that may make a distributor, developer, or partner deal with one provider rather than rivals.","DOJ Apple case materials","https://www.justice.gov/opa/pr/justice-department-sues-apple-monopolizing-smartphone-markets"
8,gold,exclusive_dealing,"The issue is whether contractual arrangements reduce the opportunities available to competing suppliers.","FTC Google search case materials","https://www.ftc.gov/legal-library/browse/cases-proceedings/181-1017-google-search"
9,gold,merger_effect,"The material asks whether a transaction could remove an important competitor or reduce future competitive pressure.","European Commission merger policy","https://competition-policy.ec.europa.eu/mergers_en"
10,gold,merger_effect,"The analysis considers whether combining firms could increase concentration and make coordination or unilateral price increases more likely.","European Commission merger policy","https://competition-policy.ec.europa.eu/mergers_en"
11,gold,consumer_harm,"The concern is that the conduct could lead to higher prices, lower quality, less choice, or slower innovation for consumers.","FTC antitrust resources","https://www.ftc.gov/advice-guidance/competition-guidance/guide-antitrust-laws"
12,gold,consumer_harm,"The materials connect a reduction in competitive pressure with possible effects on user welfare and product quality.","DOJ antitrust division","https://www.justice.gov/atr"
13,gold,remedy,"The policy question is what remedy could restore competition while preserving legitimate product improvements.","CMA remedies guidance","https://www.gov.uk/government/publications/competition-and-markets-authority-remedies"
14,gold,remedy,"The material compares conduct requirements, structural measures, and monitoring obligations as possible responses.","European Commission antitrust policy","https://competition-policy.ec.europa.eu/antitrust-and-cartels_en"
15,gold,market_definition,"The analysis asks which products or services constrain one another from the perspective of customers.","European Commission competition policy","https://competition-policy.ec.europa.eu/antitrust-and-cartels/overview_en"
16,gold,market_definition,"The evidence concerns substitutability, customer choices, and the geographic area in which firms compete.","CMA market studies guidance","https://www.gov.uk/government/organisations/competition-and-markets-authority"
27,gold,other,"The report describes a firm improving load times and reducing technical failures after investing in its infrastructure.","Illustrative control item based on public competition-policy language","https://www.ftc.gov/advice-guidance/competition-guidance/guide-antitrust-laws"
17,test,entry_barrier,"A dominant service requires developers to use its designated payment and distribution channels, which may affect the ability of rival services to grow.","DOJ Apple case materials","https://www.justice.gov/opa/pr/justice-department-sues-apple-monopolizing-smartphone-markets"
18,test,self_preferencing,"A platform places its own comparison service at the top of results while rival services receive less prominent treatment.","European Commission Digital Markets Act","https://digital-markets-act.ec.europa.eu/index_en"
19,test,switching_cost,"Customers can technically leave a cloud provider, but moving workloads requires substantial engineering effort and creates temporary costs.","CMA cloud services market investigation","https://www.gov.uk/government/publications/cloud-services-market-investigation"
20,test,exclusive_dealing,"A search distribution agreement makes one search engine the default across a large set of devices and access points.","FTC Google search case materials","https://www.ftc.gov/legal-library/browse/cases-proceedings/181-1017-google-search"
21,test,merger_effect,"Two firms with overlapping products propose a transaction that would eliminate one of the few independent alternatives available to customers.","European Commission merger policy","https://competition-policy.ec.europa.eu/mergers_en"
22,test,consumer_harm,"Users face fewer choices and may receive less investment in privacy and product improvements after rivals lose access to the market.","FTC antitrust resources","https://www.ftc.gov/advice-guidance/competition-guidance/guide-antitrust-laws"
23,test,remedy,"A proposed remedy would require access on fair terms and create a process for monitoring compliance over time.","CMA remedies guidance","https://www.gov.uk/government/publications/competition-and-markets-authority-remedies"
24,test,market_definition,"The relevant alternatives depend on whether customers view two digital services as substitutes for the same job.","European Commission competition policy","https://competition-policy.ec.europa.eu/antitrust-and-cartels/overview_en"
25,test,other,"The report describes a firm improving load times and reducing technical failures after investing in its infrastructure.","Illustrative control item based on public competition-policy language","https://www.ftc.gov/advice-guidance/competition-guidance/guide-antitrust-laws"
26,test,other,"The consultation response asks the authority to publish clearer timelines for submitting comments and supporting documents.","Illustrative control item based on public consultation practice","https://www.gov.uk/government/organisations/competition-and-markets-authority"
